ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,NO,NO2,CO,PM10
2021-02-13 23:00:00,0.011296345057758755,78.37091476488106,764.4469953393442,15.841234475403375,0.33608994483493404,-3.8002225670899925,0.019795665561104205,0.0578104479819445,0.41274186988915673,0.034594478915117535
2021-02-13 23:20:00,0.011328782788749086,78.38258803591985,764.4274050655033,15.80219148789287,0.33558161913407936,-3.783462457639369,0.01981304857412538,0.057158185445477704,0.4063840587049552,0.034461671062149715
2021-02-13 23:40:00,0.011361395109174399,78.39419228496679,764.4077005397857,15.76380534530572,0.33507412015451565,-3.766709426326405,0.019827311051925665,0.056399780173621634,0.40027776272256455,0.03427399113643485
2021-02-14 00:00:00,0.011394181201339223,78.40572700068677,764.3878899722934,15.726075370410229,0.33456744955415746,-3.7499637517540902,0.019802826088393177,0.055533822507583805,0.39456431140284126,0.03403111622123481
2021-02-14 00:20:00,0.011427140243144361,78.41719167373736,764.367981560734,15.689000865878555,0.3340616089541124,-3.733225712370733,0.01970485862203662,0.05456102812001358,0.38930672416982215,0.03373344247944796
2021-02-14 00:40:00,0.011460271407893498,78.42858579675615,764.347983482093,15.652581114105509,0.33355659993746845,-3.7164955864565057,0.019503948335636297,0.053485983958096464,0.3844941502908611,0.03338261478379754
2021-02-14 01:00:00,0.011493573864515369,78.43990886442742,764.3279038844352,15.616815377403881,0.3330524240498743,-3.699773652095418,0.01918007481016267,0.052318843425991246,0.3800567308187466,0.03298207969312133
2021-02-14 01:20:00,0.011527046777423586,78.45116037344276,764.3077508787297,15.581702897958941,0.33254908279975914,-3.6830601872095396,0.018726100890734655,0.05107671195086862,0.37588876124468096,0.03253758018280354
2021-02-14 01:40:00,0.011560689306663183,78.46233982258207,764.2875325307784,15.547242897976943,0.3320465776583691,-3.666355469516171,0.018150048901527008,0.049784478841394315,0.3718769470561326,0.03205750986646565
2021-02-14 02:00:00,0.011594500607892945,78.47344671265074,764.2672568532199,15.51343457976862,0.33154491006077924,-3.6496597765480567,0.017475877605210764,0.04847489818830166,0.3679298569023781,0.03155305411474706
2021-02-14 02:20:00,0.011628479832330934,78.48448054658294,764.2469317976314,15.48027712561673,0.3310440814043756,-3.632973385625239,0.016742583828730506,0.047187796162071735,0.36400447776303707,0.031038064749998175
2021-02-14 02:40:00,0.011662626126939194,78.4954408293844,764.2265652467432,15.447769698031834,0.3305440930505963,-3.6162965738726607,0.01600163438965422,0.045968376677210335,0.36012609248716915,0.030528641989723444
2021-02-14 03:00:00,0.011696938634256578,78.50632706819795,764.206165006732,15.41591143973207,0.3300449463242895,-3.5996296181817,0.015312920854309405,0.04486470143664649,0.3563984976503781,0.03004242911606092
2021-02-14 03:20:00,0.011731416492580655,78.5171387723045,764.1857387996696,15.38470147372233,0.3295466425143697,-3.582972795244469,0.014739600321019904,0.04392452193259771,0.35300276521455753,0.02959765845008751
2021-02-14 03:40:00,0.011766058835859038,78.52787545311817,764.1652942560993,15.35413890322593,0.32904918287321283,-3.566326381517218,0.014342319861124948,0.04319172789629196,0.35018418246451366,0.02921201777940259
