ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,NO,NO2,CO,PM2.5,PM10
2021-01-06 23:20:00,0.01237744538782077,89.11914480563448,759.3942211422972,81.73092582152915,0.40207883392802374,-4.379850784403997,0.02493447779981494,0.04827454107034393,0.36770504920048064,0.015760031356603522,0.02245408693077411
2021-01-06 23:40:00,0.012401584824793643,89.11647362712793,759.404570854294,81.57342543096442,0.40123613062615987,-4.3792731781614584,0.025188672322719076,0.04799069859550309,0.3647070659029705,0.015743262784002912,0.022435281173510572
2021-01-07 00:00:00,0.012425540179010831,89.11379398683397,759.414728841623,81.4158959553515,0.40039340320556394,-4.378678559534572,0.0254188108753308,0.04763443759382355,0.36093158321043367,0.01571434627387755,0.022393622093583674
2021-01-07 00:20:00,0.012449310853029598,89.11110600202672,759.4246881500189,81.25834171792461,0.3995506800103518,-4.378066877676914,0.025613143561613698,0.04721225759055132,0.3564514948074815,0.015673825659595363,0.02233453596416394
2021-01-07 00:40:00,0.012472896256127321,89.10840979003991,759.4344420558817,81.10076705298297,0.39870798945124136,-4.377438082261905,0.02576135111526119,0.04673152859257488,0.35135793316681574,0.015622717248047572,0.02226355101154334
2021-01-07 01:00:00,0.012496295804533012,89.10570546830539,759.4439840709514,80.9431763061223,0.39786536000738426,-4.376792123489894,0.02585539749930907,0.046200758809754924,0.34576198532731406,0.015562477981914935,0.02218589380373009
2021-01-07 01:20:00,0.012519508921207961,89.10299315429704,759.4533079467441,80.78557383392575,0.39702282022382934,-4.376128952090647,0.025890325272546182,0.04562994522160465,0.33979650610283635,0.015494949811539043,0.022106172323926174
2021-01-07 01:40:00,0.012542535036109777,89.10027296557617,759.4624076786024,80.6279640036608,0.3961803987095166,-4.375448519325401,0.025864909614340903,0.045030921384441154,0.3336172031081843,0.015422282539427718,0.022028169667717645
2021-01-07 02:00:00,0.01256537358597467,89.09754501976226,759.4712775093913,80.47035119357598,0.395338124139189,-4.374750776985236,0.02578209109815298,0.044417607671103934,0.32740214157181347,0.015346838957845079,0.021954757395873443
2021-01-07 02:20:00,0.01258802401456435,89.09480943452357,759.4799119329653,80.31273979237736,0.3944960252500007,-4.374035677406949,0.025649121025622175,0.04380607350051798,0.3213489301958251,0.015271087459674936,0.021887922355822244
2021-01-07 02:40:00,0.012610485772470512,89.09206632759536,759.4883056971167,80.155134199255,0.39365413084146145,-4.373303173455183,0.025477375505730926,0.04321433902532103,0.3156690940811128,0.015197488339385074,0.02182888713626565
2021-01-07 03:00:00,0.01263275831725972,89.08931581674256,759.4964538063081,79.99753882358719,0.39281246977328255,-4.372553218545123,0.025281823539249043,0.042661873365444886,0.31057948990788364,0.015128380606484805,0.021778293882002746
2021-01-07 03:20:00,0.012654841113433972,89.0865580197876,759.5043515240562,79.83995808503953,0.3919710709664571,-4.3717857666314,0.02508016730516914,0.042168784444339046,0.3062910302470764,0.015065876239800597,0.021736415182951344
2021-01-07 03:40:00,0.012676733632484989,89.08379305458476,759.5119943748566,79.68239641328603,0.39112996340064954,-4.371000772217563,0.024891706204530822,0.0417547372069216,0.3029954054021579,0.015011768385062275,0.02170335479299121
2021-01-07 04:00:00,0.01269843535283919,89.08102103901733,759.5193781458867,79.52485824775373,0.390289176113032,-4.370198190354947,0.02473600635757041,0.04143767730555857,0.30085086665200544,0.014967459063220459,0.02167920502027327
2021-01-07 04:20:00,0.012719945759970843,89.07824209100758,759.5264988882634,79.367348037742,0.3894487381985493,-4.369377976650336,0.024631480719429992,0.04123247101428655,0.29996841110914685,0.014933910576905705,0.021664136106700857
2021-01-07 04:40:00,0.012741264346355871,89.07545632849498,759.5333529180162,79.20987024193437,0.38860867880727584,-4.368540087259399,0.024593998942891965,0.04114959462048987,0.30039984298327727,0.014911623085586204,0.02165840457980478
2021-01-07 05:00:00,0.012762390611485392,89.0726638694465,759.539936816653,79.05242932869206,0.3877690271453585,-4.367684478899435,0.024635648686437306,0.04119401453243608,0.3021291521613132,0.014900638911314058,0.02166228082124123
2021-01-07 05:20:00,0.012783324061875326,89.06986483182794,759.5462474314274,78.89502977540982,0.3869298124714502,-4.366811108842405,0.024763760539958588,0.04136439113677802,0.30506844152228013,0.014900572194513073,0.02167590916529662
