ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,CO,NO,NO2,PM10,PM2.5
2021-01-23 04:20:00,0.022604896271535925,90.47866715181961,759.4566180590772,155.10419583574202,2.198998696782196,-4.370562900050445,0.2551969208284323,0.016295815953440485,0.02873184982094577,0.02163986337269442,0.014643273311663148
2021-01-23 04:40:00,0.02260552657690327,90.47805387278517,759.4549117149086,154.90392230201485,2.1983834316112483,-4.37308173703552,0.2503927337780951,0.01613062346324854,0.028371435307321807,0.021544823000367343,0.014635611169319884
2021-01-23 05:00:00,0.022606088623198503,90.47748790341817,759.4533443304216,154.70342676391158,2.1977704836090526,-4.375577145639901,0.24645808027986038,0.016008197255099752,0.028149896342364568,0.021451287741881115,0.01460690039862048
2021-01-23 05:20:00,0.022606582800440585,90.47696935144404,759.4519218675657,154.50271330263394,2.197159868240762,-4.378049106252427,0.2437394886490597,0.015953579450506718,0.028075831220952703,0.021369601642137533,0.014559418313507296
2021-01-23 05:40:00,0.022607009501319546,90.47649832307108,759.4506501565776,154.30178600633903,2.196551600882739,-4.380497600104632,0.24254573184780015,0.01599152578363119,0.028152744404957797,0.021313620035114327,0.014498455889044382
2021-01-23 06:00:00,0.022607369121218985,90.47607492302373,759.4495348950071,154.10064896961225,2.1959456968203472,-4.382922609271793,0.24310903273907408,0.01614379471423348,0.02837777384648441,0.02129902532429926,0.01443165995743807
2021-01-23 06:20:00,0.022607662058059155,90.47569925452287,759.4485816469164,153.8993062937811,2.19534217124933,-4.385324116677587,0.24555220963061272,0.016426473607869797,0.028740733731674274,0.02134119774751142,0.014368035621212196
2021-01-23 06:40:00,0.022607888712461065,90.47537141926978,759.4477958422962,153.69776208645902,2.194741039273482,-4.3877021060810515,0.2498659238904269,0.016847654131332365,0.0292236496093747,0.02145290270081524,0.01431673269845194
2021-01-23 07:00:00,0.022608049487567016,90.47509151745241,759.4471827767353,153.49602046149172,2.194142315904856,-4.390056562095583,0.25589910517902986,0.017405744063559256,0.029800921908277832,0.021642089642883056,0.014285770167182433
2021-01-23 07:20:00,0.022608144789142873,90.47485964773753,759.4467476112316,153.2940855391427,2.1935460160641296,-4.392387470175267,0.2633641574516662,0.018088642935382822,0.030440192468248146,0.021910094874668343,0.014280863711646836
2021-01-23 07:40:00,0.022608175025469933,90.47467590727481,759.446495372273,153.09196144560036,2.192952154579178,-4.394694816629672,0.27185686190448266,0.018873920504179825,0.031103913530907443,0.022250501289438937,0.014304511977317911
2021-01-23 08:00:00,0.022608140607370406,90.47454039167066,759.4464309520661,152.8896523131489,2.192360746184787,-4.396978588604909,0.28088918982508726,0.01973002975794879,0.031751538186996844,0.022648836671930173,0.014355467936891107
2021-01-23 08:20:00,0.022608041948195188,90.47445319499344,759.4465591089659,152.6871622797831,2.1917718055218978,-4.399238774102218,0.2899317210691578,0.02061847209679269,0.03234217507964619,0.023083196458776017,0.014428676214747197
2021-01-23 08:40:00,0.022607879463783283,90.474414409779,759.4468844681346,152.4844954895641,2.191185347138683,-4.401475361973601,0.2984612134180238,0.02149672466242927,0.03283748748547408,0.023525768248245586,0.014515700724214509
2021-01-23 09:00:00,0.022607653572409146,90.4744241270066,759.4474115223453,152.28165609189378,2.1906013854875606,-4.403688341919014,0.3060082234752911,0.02232165110375556,0.033204575747254196,0.02394512669642179,0.014605606347487214
2021-01-23 09:20:00,0.022607364694867668,90.47448243610165,759.4481446329535,152.0786482419513,2.1900199349270797,-4.405877704486424,0.31219962002442087,0.023053057878594043,0.03341856804957108,0.024309071826812835,0.014686201021706646
2021-01-23 09:40:00,0.02260701325431517,90.47458942494234,759.4490880311243,151.87547610037393,2.189441009720734,-4.408043441081858,0.316791366820721,0.023657035777105147,0.033464660370462335,0.024587712909608404,0.014745497565344122
2021-01-23 10:00:00,0.022606599676385057,90.47474517982708,759.4502458190991,151.6721438329568,2.1888646240352903,-4.410185543955061,0.3196880233544348,0.02410874371815417,0.03333939129017774,0.024756462767279094,0.014773223778620163
2021-01-23 10:20:00,0.02260612438907406,90.47494978549918,759.451621971756,151.46865561095876,2.1882907919423324,-4.412304006214259,0.3209468960496844,0.02439434750990658,0.03305100703588485,0.02479860858806516,0.01476219877619533
2021-01-23 10:40:00,0.022605587822759794,90.47520332513137,759.4532203382329,151.26501561048818,2.1877195274163097,-4.414398821817987,0.3207664962134572,0.024511914209136485,0.03261885953035036,0.024707165479554066,0.014709404746789502
2021-01-23 11:00:00,0.022604990410150475,90.47550588029978,759.4550446437482,151.06122801299443,2.1871508443354304,-4.416469985578141,0.3194607238320259,0.024471173221367916,0.032071875980234685,0.024485793852176196,0.014616615353631807
2021-01-23 11:20:00,0.022604332586321964,90.47585753101642,759.4570984915454,150.85729700453547,2.1865847564795393,-4.418517493164169,0.3174217924309782,0.024292176003084365,0.0314462322254818,0.024148662929780622,0.014490491249025827
2021-01-23 11:40:00,0.022603614788626762,90.47625835569292,759.4593853649864,150.65322677617496,2.1860212775313657,-4.420541341091889,0.3150761535027907,0.024003003546850865,0.0307824433084004,0.023719258691532352,0.014342114024505092
2021-01-23 12:00:00,0.02260283745675853,90.47670843115469,759.461908629761,150.44902152349363,2.1854604210748376,-4.422541526741475,0.31283842513359467,0.02363677153193808,0.030122144369088773,0.023228251977368313,0.014185995252949281
2021-01-23 12:20:00,0.022602001032627834,90.47720783264063,759.4646715362319,150.2446854468273,2.1849022005959573,-4.424518048341744,0.31106849288747734,0.023228255770790046,0.029504866278078957,0.022710647714791213,0.014038659399270466
