ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,CO,NO,NO2,PM2.5,PM10
2021-02-23 07:40:00,0.022565254854162935,76.082467859871,745.3617779131994,24.465952021607183,1.5639435187582635,-2.8225422141404284,0.5451913487637406,0.019991931636953862,0.04678916603997527,0.015890403075668712,0.012223806191887192
2021-02-23 08:00:00,0.022559885188732098,76.07699978286547,745.3548401835476,24.414102616865332,1.564375940858925,-2.8322053390763653,0.5509595599553028,0.02099343653888074,0.047021477282667604,0.015940018193930296,0.012229303158033245
2021-02-23 08:20:00,0.022554519450096896,76.07171472246276,745.3487574749465,24.362659905409437,1.5648117155794738,-2.8418637324605873,0.5564353783399003,0.02186356790976645,0.04714793018925508,0.0159827115305443,0.012236066658278488
2021-02-23 08:40:00,0.02254915859438341,76.0666130347287,745.3435185582525,24.311625872375792,1.565250842743736,-2.851517125997468,0.5613649469535759,0.022575056264400727,0.04717508523434552,0.016017257275266282,0.012243833662514565
2021-02-23 09:00:00,0.02254380357758736,76.06169507072518,745.3391119165478,24.261002495317133,1.5656933221115972,-2.8611652515719097,0.5655332679947352,0.023110787091926946,0.04711250563593517,0.01604286060532133,0.01225225792496747
2021-02-23 09:20:00,0.02253845535551466,76.05696117650578,745.3355257550186,24.210791744383545,1.5661391533795765,-2.870807841234912,0.5687829694072055,0.023464678232877095,0.04697141422479914,0.016059145670551996,0.012260941375459793
2021-02-23 09:40:00,0.022533114883674932,76.05241169311705,745.3327480110768,24.160995581810354,1.5665883361778186,-2.8804446272189725,0.5710275868244448,0.023641610458109412,0.046763551882059017,0.01606612151712365,0.012269471286584717
2021-02-23 10:00:00,0.022527783117388664,76.04804695657153,745.3307663645531,24.11161596228693,1.5670408700733482,-2.8900753419459555,0.5722579582597991,0.02365644156618395,0.046500350154753595,0.016064133751367775,0.01227745918449949
2021-02-23 10:20:00,0.02252246101154099,76.04386729783951,745.3295682480802,24.06265483256033,1.5674967545668477,-2.8996997180257056,0.5725411014109631,0.02353222683855174,0.04619247843499019,0.01605381004649469,0.012284577233654054
2021-02-23 10:40:00,0.02251714952080164,76.03987304285977,745.3291408574684,24.014114131609485,1.5679559890946535,-2.909317488271542,0.5720117835861093,0.023297846371259076,0.04584976920956456,0.01603600677981322,0.012290588079613068
2021-02-23 11:00:00,0.022511849599363556,76.03606451248423,745.3294711623776,23.96599579041478,1.568418573026626,-2.9189283856942403,0.5708578033396265,0.02298529420601631,0.0454814706467012,0.016011762336086546,0.01229536485222605
2021-02-23 11:20:00,0.022506562201038097,76.03244202251679,745.330545916881,23.91830173193016,1.5688845056675529,-2.928532143516967,0.5693006865142918,0.02262690963937402,0.04509673093992214,0.01598226021967694,0.012298899133204071
2021-02-23 11:40:00,0.022501288279137187,76.02900588364608,745.3323516702767,23.871033871045466,1.5693537862555,-2.938128495174664,0.5675739783699391,0.022252825294172954,0.04470518883108922,0.015948802457381988,0.012301296050169299
2021-02-23 12:00:00,0.02249602878657174,76.02575640150215,745.3348747779023,23.82419411451774,1.5698264139629525,-2.9477171743234054,0.565901533548456,0.021888870808640257,0.044317533024361803,0.015912791244066322,0.01230275711686706
