ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,NO2,NO,PM10,CO
2021-02-24 06:00:00,0.10538277683018243,78.59857956266806,754.9396042752732,169.39463771279904,1.5652381518823202,-2.3772922389822435,0.05622599858608788,0.026928587547036753,0.03278307681467494,0.08151033544052437
2021-02-24 06:20:00,0.10529932759227775,78.60659103443992,754.9595561521783,169.45268718374712,1.5658822679512956,-2.3861064897976414,0.056844737788462996,0.027446980361233463,0.032817164434061956,0.08643277920611223
2021-02-24 06:40:00,0.10521508566627938,78.61476070987574,754.9794345818591,169.5110530267482,1.5665333087294142,-2.3948990485531825,0.05755817548758696,0.028110203067007095,0.0328958059793643,0.0931255118884345
2021-02-24 07:00:00,0.1051300537247656,78.62308853533666,754.9992318435416,169.569732965885,1.5671912548514455,-2.4036696710956464,0.058332518743168006,0.02890666748919869,0.03302558831809606,0.10128595013178665
2021-02-24 07:20:00,0.10504423445551427,78.63157445287548,755.0189405733648,169.62872471240706,1.5678560867675642,-2.4124181138278686,0.059129991025857274,0.029814362120140596,0.033209091945412904,0.11048245157319941
2021-02-24 07:40:00,0.10495763056139613,78.64021840024061,755.0385537655276,169.68802596475462,1.5685277847442956,-2.421144133733131,0.05991118700926994,0.030802030440740896,0.03344350950103025,0.12018825383090365
2021-02-24 08:00:00,0.10487024476031656,78.64902031086262,755.0580647730683,169.74763440852996,1.5692063288649183,-2.429847488354844,0.06063766901000976,0.03183125864909195,0.03371984115068784,0.1298261234378401
2021-02-24 08:20:00,0.10478207978513561,78.65798011389366,755.0774673083199,169.80754771688936,1.5698916990312701,-2.4385279358323793,0.061274584717627326,0.03285929025972351,0.034022812981446646,0.13881910824642957
2021-02-24 08:40:00,0.10469313838356063,78.66709773413696,755.0967554429066,169.8677635502608,1.570583874962896,-2.4471852348706706,0.06179307529785501,0.033842304829425865,0.034331579125480564,0.1466420449686927
2021-02-24 09:00:00,0.10460342331806961,78.67637309213276,755.1159236075147,169.9282795568426,1.5712828361994216,-2.455819144782951,0.06217225609622985,0.0347388452810557,0.03462117311583532,0.15286833882251663
2021-02-24 09:20:00,0.10451293736584441,78.68580610410532,755.1349665911264,169.98909337231558,1.5719885621003098,-2.4644294254649113,0.06240058810612221,0.035513059071088454,0.03486458047856986,0.15720702308563547
2021-02-24 09:40:00,0.10442168331868479,78.69539668195732,755.1538795400766,170.05020262014241,1.5727010318456003,-2.4730158374135476,0.06247651369491892,0.03613743525517983,0.035035224223367155,0.15952616855452204
2021-02-24 10:00:00,0.1043296639828736,78.70514473331258,755.1726579566131,170.11160491165336,1.5734202244375926,-2.4815781417363914,0.06240829913013896,0.036594770631479534,0.03510959766152034,0.15986022413296225
2021-02-24 10:20:00,0.1042368821791816,78.71505016147056,755.191297697183,170.1732978460191,1.5741461187001367,-2.4901161001420524,0.06221310201169094,0.036879178071466186,0.0350697521606351,0.15840065569335415
2021-02-24 10:40:00,0.10414334074260027,78.72511286545502,755.2097949703578,170.23527901048644,1.574878693281669,-2.498629474965796,0.06191535578068877,0.03699605005868322,0.03490535474951073,0.1554711039052891
2021-02-24 11:00:00,0.10404904252263904,78.73533273997738,755.2281463343811,170.29754598042646,1.5756179266530794,-2.5071180291495274,0.0615446281436802,0.03696099924804491,0.03461507156499492,0.1514899880920947
2021-02-24 11:20:00,0.10395399038267943,78.74570967544251,755.2463486944497,170.36009631931708,1.5763637971112459,-2.5155815262705454,0.061133158641055965,0.036797903503093234,0.03420710360191182,0.14692484525372485
2021-02-24 11:40:00,0.10385818720044446,78.75624355796641,755.2643992995471,170.42292757899372,1.5771162827777343,-2.524019730526816,0.06071330760278637,0.03653627368210485,0.03369879314534575,0.14224355480897838
2021-02-24 12:00:00,0.10376163586745074,78.76693426938971,755.2822957391096,170.48603729967974,1.577875361601634,-2.532432406762606,0.060315151612951576,0.036208228512707163,0.033115322060152864,0.13786786310505922
2021-02-24 12:20:00,0.10366433928937625,78.7777816872347,755.3000359391913,170.5494230100488,1.5786410113579716,-2.5408193204503924,0.05996443928715709,0.035845395164088495,0.032487624853919136,0.13413426092207684
2021-02-24 12:40:00,0.10356630038546452,78.78878568472372,755.3176181584563,170.61308222730443,1.5794132096503986,-2.549180237712176,0.05968107820984561,0.03547605319183582,0.03184972818399407,0.13126632870829374
2021-02-24 13:00:00,0.1034675220888549,78.79994613082586,755.3350409838042,170.67701245744684,1.5801919339117827,-2.557514925322347,0.059478264243954415,0.035122804034621535,0.031235793809763504,0.12936126293325634
2021-02-24 13:20:00,0.10336800734636739,78.8112628901981,755.3523033256414,170.74121119510795,1.5809771614038224,-2.5658231507019753,0.059362294822982505,0.03480098272320233,0.03067717613162375,0.12839160094431967
2021-02-24 13:40:00,0.10326775911825102,78.82273582322608,755.3694044130096,170.80567592392242,1.5817688692197707,-2.574104681943048,0.0593330360028003,0.03451794081954179,0.030199804270128312,0.12822137309430343
2021-02-24 14:00:00,0.10316678037834646,78.8343647859962,755.3863437881905,170.8704041163159,1.5825670342832203,-2.5823592877869403,0.05938494686053969,0.03427323016301639,0.029822162168788795,0.12863424123881845
2021-02-24 14:20:00,0.10306507411377666,78.84614963034315,755.4031213013121,170.9353932339218,1.5833716333508372,-2.590586737661731,0.05950851136641684,0.03405961723265477,0.029554072567289164,0.12936982760442764
2021-02-24 14:40:00,0.1029626433250605,78.85809020378603,755.4197371044108,171.0006407273505,1.5841826430110704,-2.5987868016511655,0.05969189266852568,0.03386476918850092,0.02939639974169461,0.13016355446334618
2021-02-24 15:00:00,0.10285949102588875,78.87018634960724,755.4361916454087,171.06614403668002,1.585000039687813,-2.606959250529524,0.05992261119263279,0.03367338476679091,0.02934168218309018,0.13078500246412783
2021-02-24 15:20:00,0.10275562024299012,78.88243790681203,755.4524856617946,171.13190059122405,1.585823799638745,-2.6151038557542625,0.06018905691832554,0.033469503424313325,0.029375601963235128,0.13107008444175122
2021-02-24 15:40:00,0.10265103401625067,78.89484471010866,755.4686201739579,171.19790780963572,1.5866538989568022,-2.6232203894614194,0.06048167594547609,0.03323871826947554,0.029479104532171604,0.13094318059736373
2021-02-24 16:00:00,0.10254573539840878,78.90740658997875,755.4845964784801,171.26416310033233,1.5874903135722283,-2.631308624494757,0.060793717961781256,0.032970042415893366,0.029630911896077704,0.13042668188984516
2021-02-24 16:20:00,0.10243972745505925,78.92012337261913,755.5004161409553,171.3306638611907,1.5883330192522633,-2.6393683343816194,0.06112148860919714,0.03265723069463637,0.02981013165552844,0.12963697985263475
