ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,CO,PM10,PM2.5,NO,NO2
2021-01-06 22:40:00,0.00667612669217256,83.42613455312718,759.9712357569433,60.744661489851936,0.3425947509327519,-4.106021087234582,0.5634812523983768,0.024567288634029294,0.01887756326288046,0.035670859452525884,0.048718443257204834
2021-01-06 23:00:00,0.006688789931957494,83.42391391335617,759.9852596805041,60.63333197893481,0.34044808180662595,-4.1056293997415265,0.561251192416202,0.02467395505698627,0.018953108840640876,0.036457046011781145,0.04843476884406982
2021-01-06 23:20:00,0.006701414768597019,83.42170398356507,759.9989956229005,60.52150814084286,0.3382977782792981,-4.105223718841694,0.5569506585984402,0.024683108945487805,0.018981836982306717,0.03701368103748624,0.04805572722520345
2021-01-06 23:40:00,0.0067140008156453025,83.41950486504426,760.0124343643959,60.40919316474439,0.3361439066477746,-4.104803988044908,0.550650229811924,0.024590238203164166,0.018965455023193502,0.03729618065770637,0.04757878438444122
2021-01-07 00:00:00,0.006726547688129643,83.41731665865957,760.0255670142524,60.296390264989554,0.33398653342658036,-4.104370151289181,0.542479819073538,0.024397197716880037,0.01890890402819999,0.03727577181843265,0.047002384316371756
2021-01-07 00:20:00,0.0067390550026335885,83.41513946484345,760.0383850172999,60.183102681579754,0.3318257253536708,-4.103922152957445,0.5326297716155189,0.02411199274333146,0.018819682065273735,0.03694309776833796,0.04632753594654888
2021-01-07 00:40:00,0.006751522377131464,83.4129733835687,760.0508801601516,60.06933367948848,0.32966154938142245,-4.103459937871697,0.5213509826463751,0.023748079345428802,0.018706945639489454,0.03631026355842084,0.04555943483977136
2021-01-07 01:00:00,0.006763949431259186,83.41081851437907,760.0630445768912,59.95508654905147,0.32749407267953157,-4.1029834513004575,0.5089532573540074,0.023323269006225684,0.018580502172609342,0.035411036104663354,0.044708879323875815
2021-01-07 01:20:00,0.0067763357860064904,83.40867495633941,760.0748707543977,59.840364605568176,0.3253233626307347,-4.102492638960385,0.49580105962649457,0.022858357571817964,0.018449814315385286,0.03429909320422636,0.043793248170283405
2021-01-07 01:40:00,0.006788681064053649,83.40654280807954,760.0863515371964,59.72517118903008,0.3231494868251684,-4.101987447018881,0.4823058693864477,0.02237561734133628,0.018323130064605463,0.03304441295022635,0.042836844634364664
2021-01-07 02:00:00,0.0068009848895276,83.40442216776107,760.097480131828,59.609509664413125,0.32097251306494423,-4.101467822092745,0.4689145974002312,0.021897294112141485,0.01820683229983403,0.0317280879273272,0.041870475973134605
2021-01-07 02:20:00,0.0068132468882045605,83.40231313307417,760.1082501108924,59.49338342128555,0.31879250935690423,-4.100933711263295,0.45609387426334225,0.021444238799933332,0.01810507025051352,0.030436016081403748,0.04093022162720665
