ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,CO,NO2,NO,PM10,PM2.5
2021-01-15 08:20:00,0.01074709735300221,87.44710175660863,760.9966709423855,89.71794004528122,1.0577056816569996,-2.6169622018362455,0.46782398654427687,0.05368584756143538,0.0439949769378264,0.025925479535231995,0.015818926413647745
2021-01-15 08:40:00,0.010774639880767966,87.44394318349212,761.020648739287,89.98599643356769,1.0599645705950689,-2.615765221981916,0.4744299755779882,0.05395470974838861,0.044773195441453126,0.02627082609135743,0.01593886806109457
2021-01-15 09:00:00,0.010802191350068305,87.44072281058178,761.0445829318821,90.25444914723793,1.0622246350871904,-2.6145960980247915,0.48024957268749036,0.05411148855601118,0.04542947783367099,0.02661294914802781,0.016050518817977415
2021-01-15 09:20:00,0.010829751027889372,87.4374406340286,761.0684692687317,90.52329137954169,1.064485808547801,-2.6134548781981994,0.4850286902889214,0.05415006770559876,0.045957826790173406,0.026937178823589973,0.01615038218404679
2021-01-15 09:40:00,0.010857318180424513,87.4340966519363,761.0923033590016,90.7925163032426,1.0667480242745193,-2.612341610005073,0.48859805774641335,0.054070575129967456,0.04635921920828448,0.02722865034193471,0.01623583891405021
2021-01-15 10:00:00,0.01088489207303928,87.4306908643426,761.1160806704953,91.06211707138354,1.0690112154563378,-2.6112563402110283,0.49088634646546175,0.05387912954177021,0.04664083352689588,0.027473512636780634,0.016305288608152852
2021-01-15 10:20:00,0.010912471970327188,87.42722327323723,761.1397965279875,91.33208681658218,1.0712753151666696,-2.6101991148370898,0.4919237217538276,0.05358724817010163,0.0468148653434004,0.027660138757406215,0.01635819899263051
2021-01-15 10:40:00,0.010940057136143136,87.42369388256104,761.1634461117637,91.6024186521201,1.0735402563737437,-2.60916997917706,0.4918354173909043,0.053210966708125536,0.04689705280002776,0.027780206613447427,0.01639506062712168
2021-01-15 11:00:00,0.010967646833604018,87.42010269819303,761.1870244563376,91.87310567135947,1.0758059719366948,-2.6081689777692745,0.4908260473432532,0.05276974155848202,0.046905054391523926,0.027829527705146847,0.0164172548145435
2021-01-15 11:20:00,0.010995240325212761,87.41644972798173,761.2105264493788,92.14414094864622,1.0780723946117372,-2.607196154416288,0.4891564105404176,0.05228521754833394,0.046856828881965934,0.02780852510602678,0.016426851532138204
2021-01-15 11:40:00,0.011022836872684783,87.4127349817043,761.2339468309491,92.41551753871774,1.0803394570507117,-2.6062515521726617,0.48711538615783223,0.05177995044649115,0.04676915956179062,0.027722297605381137,0.016426361218339326
2021-01-15 12:00:00,0.01105043573727455,87.40895847111709,761.2572801928869,92.68722847774812,1.0826070918070276,-2.6053352133430936,0.48499005876795037,0.051276172475275245,0.046656444281475876,0.027580250637658513,0.01641846845855932
2021-01-15 12:20:00,0.011078036179478452,87.40512020991639,761.2805209784609,92.95926678271587,1.0848752313325396,-2.604447179487459,0.48303739063997647,0.05079468090536857,0.04652984105233817,0.027395321463702584,0.01640577656169185
2021-01-15 12:40:00,0.011105637459318096,87.40122021375936,761.3036634822342,93.23162545215921,1.087143807985155,-2.6035874914136663,0.4814605508745858,0.050353915643986016,0.046396820064520186,0.027182870644784092,0.016390589644901855
2021-01-15 13:00:00,0.011133238836212374,87.39725850026014,761.3267018502854,93.50429746624158,1.0894127540270178,-2.6027561891728004,0.48039244230852024,0.049969272952697326,0.04626113093176258,0.026959348984477424,0.016374753472105045
2021-01-15 13:20:00,0.0111608395691028,87.39323508899767,761.3496300804687,93.77727578663806,1.0916820016275144,-2.601953312070467,0.4798881042233637,0.04965268084995001,0.04612315321768306,0.02674087444912726,0.016359568597655857
2021-01-15 13:40:00,0.01118843891642321,87.38915000149446,761.3724420231348,94.05055335731447,1.0939514828671721,-2.601178898646954,0.479926613926705,0.04941243937325238,0.04598056292151061,0.026541864092734277,0.016345780293696658
2021-01-15 14:00:00,0.011216036136197835,87.38500326126066,761.3951313819709,94.32412310403924,1.0962211297359779,-2.6004329866905493,0.4804219881024774,0.04925330769483704,0.045829220975490616,0.026373860398897712,0.01633364038388558
2021-01-15 14:20:00,0.011243630485984995,87.3807948937468,761.4176917151527,94.59797793518423,1.0984908741399861,-2.5997156132286774,0.4812415282231185,0.049176801880403194,0.04566417423106636,0.02624467025619768,0.016323027585016477
2021-01-15 14:40:00,0.011271221222896732,87.37652492637461,761.440116436736,94.87211074137595,1.1007606478982068,-2.5990268145296556,0.482229188279859,0.04918165330132679,0.045480655923722565,0.026157900376537667,0.01631360627768303
2021-01-15 15:00:00,0.011298807603796809,87.37219338852844,761.4623988183023,95.14651439630006,1.1030303827507453,-2.598366626098379,0.4832309698044196,0.04926436929214292,0.04527498088738043,0.026112929244954904,0.01630499956123633
2021-01-15 15:20:00,0.011326388885053282,87.3678003115572,761.4845319908819,95.42118175628048,1.1053000103552875,-2.597735082675695,0.48411913591051114,0.04941983499270858,0.04504524927932094,0.026105307652507338,0.01629695144913495
2021-01-15 15:40:00,0.01135396432289631,87.36334572878239,761.5065089471132,95.69610566083436,1.1075694622922712,-2.597132218238565,0.48481220729100577,0.049641898262834314,0.044791798682419046,0.026127532998044302,0.016289455205028416
2021-01-15 16:00:00,0.011381533173106266,87.35882967547596,761.5283225436895,95.97127893284654,1.109838670065951,-2.5965580659977903,0.48528823729862425,0.049923887431839606,0.044517374896384576,0.026170102211990547,0.01628282980430939
2021-01-15 16:20:00,0.011409094691339813,87.35425218889722,761.5499655040317,96.24669437863149,1.1121075651069985,-2.596012658395381,0.4855896958380501,0.05025902335087672,0.04422702295027317,0.026222718940618044,0.01627773368486622
2021-01-15 16:40:00,0.011436648132970616,87.34961330825534,761.5714304212937,96.52234478838795,1.1143760787755945,-2.5954960270997143,0.48581932274758866,0.050640701382208844,0.043927728413081166,0.026275515821911222,0.01627511341698152
2021-01-15 17:00:00,0.011464192753145327,87.34491307473633,761.5927097614868,96.79822293590371,1.1166441423591476,-2.5950082030170627,0.4861274171376193,0.05106263407610117,0.043627862057297184,0.026320153887050637,0.016276093619999776
2021-01-15 17:20:00,0.011491727806932658,87.34015153148786,761.6137958670614,97.07432157941903,1.1189116870812075,-2.5945492162712185,0.486692077615442,0.051518859889418255,0.043336496226782636,0.02635067806984519,0.016281822304156264
2021-01-15 17:40:00,0.011519252549190883,87.33532872363882,761.6346809605542,97.35063346120455,1.1211786440967353,-2.5941190962224434,0.48769477437046693,0.05200363607957254,0.043062667836108175,0.026364038403038734,0.01629329185244126
2021-01-15 18:00:00,0.011546766234711547,87.33044469827657,761.6553571486207,97.6271513082843,1.1234449445001164,-2.593717871450794,0.48929421468907286,0.052511243870807,0.042814660806079645,0.02636022705633322,0.0163111593399215
2021-01-15 18:20:00,0.01157426811819576,87.32549950445572,761.675816426247,97.9038678321993,1.1257105193221286,-2.593345569759488,0.4916016898199478,0.0530357404747403,0.04259937099522042,0.026342027111586376,0.016335590391745532
2021-01-15 18:40:00,0.011601757454249524,87.32049319320947,761.6960506812713,98.18077572937783,1.1279752995352745,-2.5930022181733277,0.4946609368900765,0.05357069533156993,0.042421801206943534,0.026314414500945432,0.016366148249648972
2021-01-15 19:00:00,0.011629233497574354,87.315425817533,761.7160516991022,98.45786768164521,1.1302392160563943,-2.5926878429416185,0.49843503386685095,0.05410894713943897,0.042284715106579274,0.026283694543214275,0.01640174446469521
2021-01-15 19:20:00,0.01165669550276869,87.31029743239742,761.735811167719,98.73513635574501,1.1325021997448568,-2.592402469535373,0.5028020304592837,0.05464241432287269,0.042188459518929466,0.026256484388761256,0.016440660308788525
2021-01-15 19:40:00,0.011684142724522166,87.30510809473307,761.7553206828709,99.01257440435988,1.1347641814099991,-2.5921461226379288,0.5075600011449428,0.05516198528011104,0.04213094711964433,0.026238669041217477,0.016480639500512855
2021-01-15 20:00:00,0.011711574417601229,87.29985786345647,761.7745717535747,99.29017446554337,1.1370250918081686,-2.5919188261563084,0.5124411093400416,0.05565750684511061,0.042107778037001574,0.02623445970990854,0.016519044213041054
2021-01-15 20:20:00,0.01173898983686819,87.29454679943676,761.7935558078061,99.56792916360251,1.1392848616496256,-2.591720603209194,0.5171332248005107,0.05611788080342596,0.04211247066923725,0.026245669118799345,0.016553058632214037
2021-01-15 20:40:00,0.011766388237252587,87.28917496552195,761.8122641983664,99.84583110861288,1.141543421595059,-2.5915514761352867,0.5213067634227777,0.05653126977598082,0.04213676958725109,0.026271290917995068,0.01657991850229256
2021-01-15 21:00:00,0.011793768873919658,87.2837424265192,761.830688209124,100.12387289736851,1.143800702264031,-2.5914114664840433,0.5246438225287215,0.056885405991476984,0.04217100131606326,0.026307432929022635,0.016597141850046192
