ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,NO,NO2,CO,PM2.5
2021-01-09 07:20:00,0.010183136848533912,87.38899355234706,757.3913769131848,53.355924123921575,0.7190008852957308,-4.054162422269848,0.030334910662707545,0.04288030345268959,0.2509887616172927,0.015784695586007074
2021-01-09 07:40:00,0.01018540671682897,87.39182273049263,757.3695454852651,53.31053273780621,0.718411088169609,-4.050693861142767,0.03129022308500365,0.043647308929006846,0.26054582046371955,0.0158407106987782
2021-01-09 08:00:00,0.010187545940505364,87.39467553685702,757.3474412667841,53.26570685916856,0.717826533525793,-4.0472095601197005,0.03220144161521746,0.04434994983354287,0.2694948147644582,0.01589777554331082
2021-01-09 08:20:00,0.010189554694650342,87.39755190889404,757.3250635613031,53.221448573273655,0.7172472509703434,-4.043709567689892,0.03302587961905568,0.04495409542364766,0.2773130992822883,0.01595390346795805
2021-01-09 08:40:00,0.010191433158963821,87.4004517830214,757.3024119639525,53.177759954209776,0.716673269970176,-4.040193932964626,0.033728267645481466,0.04543240572799327,0.283583620520785,0.016007363079814253
2021-01-09 09:00:00,0.010193181517709416,87.40337509459778,757.279486367119,53.13464306442022,0.7161046198494878,-4.036662705654835,0.03428310022840671,0.04576606342730413,0.2880309121212565,0.016056751298179538
2021-01-09 09:20:00,0.010194799959666486,87.4063217779227,757.2562869658949,53.09209995499954,0.7155413297906578,-4.033115936086595,0.0346761064421119,0.04594583063454268,0.29054259710118713,0.01610103608335556
2021-01-09 09:40:00,0.010196288678119966,87.40929176624763,757.2328142631027,53.05013266535089,0.7149834288312121,-4.02955367519563,0.03490471586770243,0.045972340698451894,0.2911741165321187,0.016139567808166624
2021-01-09 10:00:00,0.010197647870940359,87.41228499178453,757.2090690739719,53.008743223241225,0.7144309458646617,-4.0259759745208035,0.03497749162958516,0.04585560828760267,0.2901362868945281,0.01617206143484601
2021-01-09 10:20:00,0.01019887774038693,87.41530138566442,757.1850525304544,52.967933644703784,0.7138839096380101,-4.022382886208234,0.03491260522241161,0.04561381596823239,0.2877672185872141,0.01619855447760559
2021-01-09 10:40:00,0.010199978493356045,87.41834087802529,757.1607660851158,52.92770593388763,0.7133423487510421,-4.018774463012343,0.034735522865325816,0.0452715042507833,0.28449188028534556,0.016219347861047156
2021-01-09 11:00:00,0.01020095034109959,87.42140339791273,757.1362115147175,52.88806208312683,0.7128062916561464,-4.015150758291103,0.03447614986960165,0.0448573473200182,0.2807739633750877,0.01623493800175172
2021-01-09 11:20:00,0.010201793499399085,87.4244888733532,757.1113909232828,52.84900407275235,0.7122757666557971,-4.011511826004674,0.03416572976985359,0.044401732524872894,0.27706552772910475,0.016245948633932434
2021-01-09 11:40:00,0.010202508188490507,87.42759723133038,757.086306744914,52.810533870984486,0.7117508019024436,-4.007857720716876,0.03383381348675922,0.04393437452252678,0.2737600991654391,0.01625307007803417
2021-01-09 12:00:00,0.010203094632956447,87.43072839775863,757.0609617460452,52.77265343398193,0.7112314253971651,-4.0041884975895226,0.033505598815106376,0.04348218359853464,0.2711544195287543,0.016257011946836826
2021-01-09 12:20:00,0.0102035530619679,87.43388229757653,757.0353590274327,52.73536470569717,0.7107176649884902,-4.00050421239327,0.033199894055510805,0.043067573714036675,0.2694229801991786,0.016258472929448372
2021-01-09 12:40:00,0.010203883708957893,87.43705885462597,757.0095020256288,52.69866961781277,0.7102095483721208,-3.9968049214905097,0.0329278870659453,0.04270734328328814,0.2686079270012474,0.01625812859876376
2021-01-09 13:00:00,0.010204086811842723,87.44025799174558,756.9833945140795,52.66257008963231,0.709707103088618,-3.9930906818432605,0.03269281070306705,0.042412196649448196,0.26862509296966464,0.016256635496353485
2021-01-09 13:20:00,0.010204162612870818,87.44347963073518,756.9570406038266,52.627068028071356,0.7092103565232655,-3.989361551013257,0.03249049770095638,0.04218690405971869,0.26928501243158254,0.016254647398428145
