ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,CO,NO,PM10,PM2.5,NO2
2021-02-21 08:20:00,0.033863423502229234,72.06665098013724,766.5794377073728,88.24116584040158,0.4576067484907077,-1.0322423113153096,0.5548132520572411,0.01206457500941893,0.05544126293458109,0.030792338867397587,0.04850150328309226
2021-02-21 08:40:00,0.03387936984933059,72.04720271240932,766.5243388754384,88.24409215198247,0.4571810299567444,-1.039982443633682,0.5598556650788822,0.012191462322060852,0.055642572930802915,0.03072254142786185,0.04896234979628177
2021-02-21 09:00:00,0.0338950675905941,72.02782970487017,766.4683216214061,88.24685012044637,0.4567556811415687,-1.0477543155105078,0.5632355374236968,0.012195100337487882,0.05583367602885483,0.030646307915788092,0.04931167770122037
2021-02-21 09:20:00,0.03391051700840081,72.00853262636836,766.4113976240274,88.24943981477779,0.45633071114341117,-1.0555576844975327,0.564885607847503,0.012083405719195396,0.055992994226836575,0.030560807156100888,0.04952878155870695
2021-02-21 09:40:00,0.03392571839180393,71.98931214410085,766.3535790067461,88.25186130745553,0.45590612903397926,-1.0633923075436167,0.5648742104660163,0.011871637029840957,0.05609880665448671,0.03046349478522449,0.049601382704155865
2021-02-21 10:00:00,0.03394067203644444,71.97016892355792,766.2948783346847,88.25411467419454,0.45548194385599633,-1.0712579409901801,0.5633939591279411,0.011580622423171542,0.056131478005236636,0.030352437962680036,0.0495265677944315
2021-02-21 10:20:00,0.03395537824464836,71.95110362854561,766.2353086113391,88.25619999405212,0.45505816462444704,-1.0791543405685466,0.5607391979613099,0.01123458669374855,0.056075574738010475,0.030226583363793018,0.049310942456153015
2021-02-21 10:40:00,0.03396983732535398,71.93211692115712,766.174883274823,88.25811734948698,0.45463480032613135,-1.087081261431119,0.5572744892015682,0.01085879966403474,0.05592162506210511,0.03008593482263292,0.04896997746115109
2021-02-21 11:00:00,0.033984049593987674,71.91320946172237,766.1136161940371,88.25986682614511,0.45421185991809465,-1.095038458128708,0.5533973452370212,0.010477277642883445,0.055667316201988074,0.02993161774060424,0.04852660759707134
2021-02-21 11:20:00,0.033998015372699975,71.89438190883095,766.0515216642102,88.26144851301325,0.4537893523284603,-1.1030256846371564,0.5494990099494723,0.010110755472923475,0.05531798459197775,0.029765821030216105,0.04800922048816421
2021-02-21 11:40:00,0.03401173499004597,71.8756349192707,765.9886144025078,88.2628625022209,0.45336728645544433,-1.111042694340064,0.5459272864992929,0.009775110636499907,0.054886334219964784,0.029591622255431313,0.04744923536851658
