ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,NO,NO2,CO,PM2.5
2021-02-25 01:00:00,0.013683357152417284,91.80381913359595,752.24071403276,115.25170756199445,0.9894773635382756,-3.34673615253768,0.007076644938484345,0.04134993142862724,0.4891104509792685,0.016767650695019176
2021-02-25 01:20:00,0.013705787404572414,91.82060000747163,752.2459841772115,115.14517198230158,0.9890243558442966,-3.3533206041388324,0.0068525558172659136,0.04064950184400458,0.4848222476985657,0.016734479135907962
2021-02-25 01:40:00,0.013728277578077003,91.83751278103351,752.2511822910332,115.03807002338922,0.9885749950736334,-3.359867022519814,0.006596125640261829,0.03992138381905121,0.4806583068698857,0.016699231560860412
2021-02-25 02:00:00,0.013750827189164747,91.85455716933787,752.2563168335722,114.93040281824494,0.9881292621862168,-3.3663752077294538,0.006306773268858022,0.03918179149217038,0.4765580107740362,0.016661166892356503
2021-02-25 02:20:00,0.013773435750990255,91.87173288356024,752.2613962927833,114.82217151260159,0.9876871379932446,-3.3728449607120696,0.005990087087937317,0.038451195082151716,0.47249394090965996,0.016619913803473368
2021-02-25 02:40:00,0.013796102773588219,91.88903963098126,752.2664291740796,114.71337726514149,0.9872486031590948,-3.3792760832868574,0.005658121941511816,0.03775364884211009,0.4684882666915549,0.016575615585540895
2021-02-25 03:00:00,0.013818827763954673,91.90647711500341,752.2714239893367,114.60402124709123,0.9868136381988217,-3.3856683781713857,0.005328835123503392,0.03711556329914476,0.46462188456979253,0.01652900540237071
2021-02-25 03:20:00,0.013841610226008225,91.92404503516136,752.276389245941,114.49410464257498,0.9863822234824013,-3.3920216489716015,0.005024692844540595,0.03656400231042823,0.4610347289400178,0.01648139971385613
2021-02-25 03:40:00,0.013864449660664552,91.94174308711344,752.2813334359886,114.38362864844783,0.98595433923385,-3.3983357002011596,0.00477058287267017,0.03612464718365115,0.4579167977115252,0.016434607719298847
2021-02-25 04:00:00,0.013887345565784727,91.95957096266696,752.2862650255577,114.27259447409381,0.9855299655319747,-3.4046103372672203,0.004591258529213795,0.03581961812373259,0.45549063453115085,0.016390765153557897
2021-02-25 04:20:00,0.013910297436306356,91.97752834978715,752.2911924441859,114.16100334185663,0.9851090823129927,-3.4108453664843177,0.004508602842581487,0.03566537153288602,0.45398713821769654,0.016352110397409105
2021-02-25 04:40:00,0.013933304764107987,91.99561493258145,752.2961240743995,114.0488564864228,0.984691669367645,-3.417040595089323,0.004539031405500587,0.035670896353850394,0.4536174871321997,0.016320728461455353
2021-02-25 05:00:00,0.01395636703819543,92.01383039133825,752.3010682414971,113.93615515532638,0.9842777063464614,-3.423195831218262,0.00469134436742259,0.035836412527532224,0.45454455586015496,0.016298293031893448
2021-02-25 05:20:00,0.013979483744586817,92.03217440251895,752.3060332034136,113.82290060856991,0.9838671727571537,-3.4293108839396895,0.004965292567944798,0.03615273137337076,0.4568573862831663,0.01628583783359697
2021-02-25 05:40:00,0.014002654366430412,92.05064663876233,752.3110271408108,113.70909411884783,0.9834600479676916,-3.4353855632359256,0.005351045128115391,0.03660137563840146,0.4605520262808115,0.016283585906570544
2021-02-25 06:00:00,0.014025878383977765,92.06924676892174,752.31605814736,113.59473697125055,0.9830563112051892,-3.4414196800238095,0.00582964481999576,0.03715548264642157,0.4655213905947852,0.01629085927990194
2021-02-25 06:20:00,0.014049155274595614,92.08797445803005,752.3211342201921,113.47983046355026,0.9826559415590883,-3.4474130461434083,0.006374425031156895,0.037781435433882085,0.47155580351331366,0.016306082656808357
2021-02-25 06:40:00,0.01407248451281137,92.10682936732267,752.3262632505689,113.36437590601177,0.9822589179801751,-3.4533654743727578,0.006953251397644449,0.03844109258852438,0.4783546671292041,0.016326884117794357
2021-02-25 07:00:00,0.01409586557034879,92.12581115429452,752.3314530147848,113.2483746212245,0.9818652192815238,-3.4592767784339484,0.007531355310466488,0.03909442587867794,0.4855484048456248,0.016350284744525594
2021-02-25 07:20:00,0.014119297916107394,92.14491947263012,752.3367111652923,113.13182794438745,0.9814748241406841,-3.4651467729812415,0.008074456934346875,0.03970233250483513,0.49272861128480366,0.016372958767197167
2021-02-25 07:40:00,0.014142781016189536,92.16415397227921,752.3420452220217,113.01473722294631,0.9810877110986577,-3.4709752736255473,0.008551840465441555,0.04022937060818978,0.49948334297248126,0.0163915375576001
2021-02-25 08:00:00,0.014166314334009437,92.18351429942521,752.3474625640499,112.8971038170343,0.9807038585640652,-3.476762096922199,0.008939048346496663,0.04064617452350865,0.5054338298429975,0.01640292550901772
2021-02-25 08:20:00,0.014189897330123252,92.2030000965055,752.3529704213778,112.77892909878267,0.9803232448089346,-3.482507060381967,0.009219903750788483,0.04093133929272779,0.5102686572087293,0.016404594193795592
2021-02-25 08:40:00,0.014213529462502986,92.22261100223537,752.358575867099,112.66021445299867,0.9799458479749719,-3.48820998247324,0.009387646892351224,0.04107261842074412,0.5137716921894658,0.016394823373434522
2021-02-25 09:00:00,0.014237210186333553,92.24234665161886,752.3642858097796,112.54096127656527,0.9795716460708552,-3.49387068262846,0.00944507176739688,0.04106734872790443,0.5158406859309794,0.016372863209694534
2021-02-25 09:20:00,0.01426093895415705,92.26220667591288,752.3701069861091,112.4211709787507,0.9792006169738132,-3.499488981244247,0.00940366389301021,0.040922093658527905,0.5164944989143659,0.01633900071989499
2021-02-25 09:40:00,0.01428471521586229,92.28219070269782,752.3760459538485,112.30084498114579,0.9788327384326009,-3.5050646996824373,0.009281853140446498,0.04065157305721434,0.5158681551950115,0.016294524125581633
2021-02-25 10:00:00,0.01430853841873193,92.30229835585003,752.3821090850998,112.179984717429,0.9784679880649974,-3.510597660284499,0.009102595521468387,0.04027701489927965,0.5141962865904185,0.01624159002767516
2021-02-25 10:20:00,0.014332408007384678,92.32252925555643,752.3883025597911,112.05859163358203,0.9781063433620825,-3.5160876863627015,0.008890572104638228,0.03982411560829562,0.5117868222604484,0.01618300899338998
2021-02-25 10:40:00,0.014356323423942129,92.34288301835329,752.3946323595861,111.93666718773073,0.9777477816872286,-3.5215346022172502,0.008669333457697034,0.03932082519889404,0.5089878619158553,0.01612197392835141
2021-02-25 11:00:00,0.014380284107882543,92.36335925709865,752.4011042619752,111.81421285013494,0.9773922802762811,-3.526938233122256,0.008458719541570285,0.038795178881651765,0.5061514159612428,0.01606176152534526
2021-02-25 11:20:00,0.014404289496229416,92.38395758100201,752.4077238347767,111.69123010316619,0.9770398162412067,-3.532298405347982,0.008272847812506803,0.038273378060603894,0.5035980165642199,0.016005439461610215
2021-02-25 11:40:00,0.014428339023419393,92.40467759563197,752.4144964308996,111.56772044132151,0.9766903665688142,-3.5376149461494517,0.008118891022980041,0.037778283727878455,0.5015860634062927,0.015955610617316516
2021-02-25 12:00:00,0.014452432121428362,92.42551890292467,752.4214271834859,111.44368537109108,0.9763439081223318,-3.542887683784137,0.007996769458684966,0.03732842930805513,0.500289184093102,0.015914220607430897
2021-02-25 12:20:00,0.014476568219781646,92.44648110120907,752.4285210013132,111.31912641104444,0.9760004176423297,-3.5481164475007647,0.007899771741680155,0.03693759499911944,0.49978393174238056,0.015882446984719276
2021-02-25 12:40:00,0.014500746745541613,92.46756378517519,752.4357825645834,111.19404509178966,0.9756598717485511,-3.5533010675509544,0.00781600707636787,0.03661491937080661,0.500048924429554,0.015860678547185907
2021-02-25 13:00:00,0.014524967123340643,92.48876654596155,752.4432163210205,111.06844295571506,0.9753222469388351,-3.558441375196865,0.007730493168663856,0.03636546418990818,0.500975196901695,0.015848582467526226
2021-02-25 13:20:00,0.014549228775430582,92.51008897107899,752.4508264823314,110.94232155740178,0.9749875195922278,-3.563537202702846,0.00762760968369809,0.036191101899733666,0.5023862411701432,0.015845246732621335
2021-02-25 13:40:00,0.014573531121698563,92.53153064449685,752.4586170209634,110.81568246309017,0.9746556659686506,-3.5685883833497893,0.007493605754671954,0.03609156690373313,0.5040651108823653,0.01584937684788274
2021-02-25 14:00:00,0.014597873579645697,92.5530911465916,752.4665916672383,110.68852725109905,0.9743266622107589,-3.5735947514347446,0.007318846459531855,0.03606550448950279,0.5057851828907463,0.01585951992085002
2021-02-25 14:20:00,0.014622255564488465,92.57477005421086,752.4747539068313,110.56085751139742,0.9740004843432981,-3.5785561422715357,0.00709951754184907,0.03611136496515037,0.5073407978510653,0.01587428675398691
2021-02-25 14:40:00,0.014646676489107925,92.59656694064415,752.483106978586,110.43267484596426,0.973677108276624,-3.5834723921985034,0.006838575630629103,0.03622802291330099,0.5085740805417358,0.015892543703786535
2021-02-25 15:00:00,0.014671135764151206,92.6184813756818,752.4916538726651,110.30398086837775,0.9733565098056304,-3.588343338581403,0.006545824444275714,0.03641504772508102,0.5093947569266275,0.015913550619147235
2021-02-25 15:20:00,0.014695632797959025,92.64051292556742,752.5003973290576,110.17477720402981,0.973038664611195,-3.5931688198105274,0.006237104617978959,0.03667260549579419,0.5097906737519732,0.015937028561178002
2021-02-25 15:40:00,0.014720166996663474,92.6626611530436,752.5093398364421,110.0450654901098,0.9727235482620734,-3.5979486753143695,0.005932692883094873,0.037001026877278076,0.5098278789656433,0.015963150296894102
2021-02-25 16:00:00,0.014744737764224837,92.68492561739669,752.5184836313813,109.91484737533841,0.9724111362144315,-3.602682745555155,0.0056551023539261865,0.03740012360444465,0.5096403978453223,0.015992456593049514
2021-02-25 16:20:00,0.014769344502361934,92.70730587437485,752.5278306978662,109.78412452019498,0.9721014038143952,-3.607370872032136,0.005426548118916339,0.03786837210692676,0.509411087094779,0.016025710876038463
2021-02-25 16:40:00,0.014793986610697345,92.72980147631299,752.5373827671993,109.6528985967056,0.9717943262981006,-3.612012897295042,0.0052663825766508425,0.03840210152306488,0.5093460183748744,0.016063712699832092
2021-02-25 17:00:00,0.014818663486682128,92.75241197205916,752.5471413182312,109.52117128853277,0.9714898787923895,-3.616608664928715,0.005188808308475105,0.03899482338291827,0.509645607227885,0.016107095716313195
2021-02-25 17:20:00,0.01484337452568246,92.7751369070382,752.5571075779332,109.38894429083132,0.9711880363171186,-3.6211580195776616,0.005201142499967937,0.039636821520032096,0.5104760739139478,0.01615613783948218
2021-02-25 17:40:00,0.01486811912097238,92.7979758232244,752.5672825222733,109.25621931038495,0.9708887737857986,-3.6256608069304512,0.005302840274409227,0.04031508604518789,0.5119447579452652,0.016210609804041848
2021-02-25 18:00:00,0.014892896663762069,92.82092825919482,752.5776668774945,109.1229980652297,0.9705920660046083,-3.6301168737376246,0.00548539297747553,0.04101362919167454,0.514082319296152,0.016269683539638556
2021-02-25 18:20:00,0.014917706543269564,92.84399375011184,752.5882611216629,108.98928228509646,0.9702978876767672,-3.634526067804872,0.005733112605834915,0.04171416957077418,0.5168340084671477,0.01633191431153771
2021-02-25 18:40:00,0.014942548146653804,92.86717182773887,752.5990654865581,108.85507371104657,0.9700062134015098,-3.6388882380001073,0.006024707938573814,0.042397121653865416,0.5200610801502048,0.0163953013501123
2021-02-25 19:00:00,0.014967420859131157,92.89046202049022,752.6100799599164,108.72037409537931,0.9697170176749776,-3.643203234257151,0.00633546428523585,0.043042785582911615,0.5235521966418468,0.016457421844374757
2021-02-25 19:20:00,0.01499232406395213,92.91386385338237,752.6213042879399,108.58518520194292,0.9694302748924136,-3.647470907576859,0.006639768375213154,0.0436326041990433,0.527043466649869,0.01651562392832018
2021-02-25 19:40:00,0.015017257142445352,92.9373768481066,752.632737978165,108.44950880574122,0.9691459593481488,-3.651691110034821,0.006913681195641339,0.044150343206488765,0.5302447377304496,0.01656725678659467
2021-02-25 20:00:00,0.015042219473988792,92.96100052298944,752.6443803026033,108.31334669316954,0.9688640452378986,-3.6558636947743555,0.0071372590464507,0.04458305813270114,0.5328690290976201,0.016609911172214397
2021-02-25 20:20:00,0.015067210436169024,92.98473439306666,752.6562303012187,108.17670066170457,0.9685845066582713,-3.6599885160253516,0.007296356853723614,0.044921737357009064,0.534661642566369,0.016641642068106234
2021-02-25 20:40:00,0.015092229404623993,93.00857797001812,752.6682867856636,108.03957252023119,0.9683073176094956,-3.6640654290859285,0.007383713544695753,0.04516155072836317,0.535425562176437,0.016661147131222936
2021-02-25 21:00:00,0.015117275753251225,93.03253076227928,752.6805483433391,107.9019640885991,0.9680324519947824,-3.668094290349341,0.007399208866556386,0.04530168310047235,0.5350402356813918,0.016667879708351877
2021-02-25 21:20:00,0.015142348854093927,93.05659227496422,752.6930133417018,107.76387719783584,0.9677598836222354,-3.6720749572854636,0.0073492833553675295,0.045344785093254035,0.5334716616417647,0.01666208297990083
2021-02-25 21:40:00,0.015167448077408214,93.08076200991701,752.7056799328793,107.62531369019123,0.9674895862068505,-3.67600728845951,0.007245615656403552,0.04529612271973786,0.5307727805311392,0.016644741226250342
2021-02-25 22:00:00,0.015192572791771424,93.1050394657614,752.7185460585488,107.48627541878241,0.9672215333701136,-3.679891143528242,0.0071032414842757295,0.0451625467348956,0.5270743538509374,0.01661745416602529
2021-02-25 22:20:00,0.015217722363971918,93.1294241378345,752.7316094550287,107.34676424786694,0.9669556986412255,-3.6837263832404377,0.006938365178198307,0.044951426449412,0.5225676659095484,0.016582249568804226
2021-02-25 22:40:00,0.015242896159110338,93.15391551827402,752.7448676587165,107.20678205263007,0.9666920554598661,-3.687512869443691,0.006766149914256053,0.04466969795052142,0.51748135747677,0.016541356759171125
2021-02-25 23:00:00,0.01526809354065881,93.1785130960022,752.7583180116596,107.06633071923955,0.9664305771747966,-3.6912504650871654,0.006598771942985716,0.04432316217656317,0.5120553804020423,0.016496968291983855
2021-02-25 23:20:00,0.015293313870400043,93.20321635673687,752.7719576674502,106.92541214468788,0.96617123704686,-3.6949390342243698,0.006443987871368076,0.04391613557520069,0.5065153651705052,0.016451018409565886
2021-02-25 23:40:00,0.015318556508531058,93.2280247830154,752.7857835973001,106.78402823693207,0.9659140082493256,-3.6985784420132752,0.006304396543757122,0.04345150895908515,0.501050583993751,0.01640500471811171
2021-02-26 00:00:00,0.015343820813635365,93.25293785420264,752.7997925963472,106.64218091464883,0.9656588638689846,-3.7021685547199557,0.006177486852365224,0.04293121436172148,0.4957981856366898,0.01635987409648246
2021-02-26 00:20:00,0.01536910614275311,93.27795504651773,752.8139812901694,106.49987210743254,0.9654057769078478,-3.705709239725018,0.006056461007757416,0.04235704213877499,0.4908355394316374,0.01631598583127139
2021-02-26 00:40:00,0.015394411851368615,93.30307583301473,752.8283461414774,106.35710375561743,0.9651547202840163,-3.7092003655207364,0.005931722033389357,0.041731698528391335,0.486181459876368,0.016273155328711146
2021-02-26 01:00:00,0.015419737293465114,93.32829968366191,752.8428834570424,106.21387781003385,0.964905666830701,-3.712641801720726,0.005792827054197675,0.04105995419048308,0.4818059237083791,0.0162307716665794
2021-02-26 01:20:00,0.01544508182155415,93.35362606528288,752.8575893947427,106.07019623250578,0.9646585893018582,-3.7160334190522457,0.005630645218104761,0.04034971226089306,0.47764678313631026,0.016187972951431477
2021-02-26 01:40:00,0.015470444786647794,93.37905444162755,752.8724599708207,105.92606099517765,0.9644134603681412,-3.7193750893719075,0.005439428761381684,0.03961282353295514,0.4736310610704041,0.016143856085924706
2021-02-26 02:00:00,0.015495825538406446,93.40458427335078,752.8874910672733,105.78147408110271,0.9641702526230549,-3.7226666856557085,0.00521851179604785,0.03886549735871245,0.4696978024185985,0.016097693044568512
2021-02-26 02:20:00,0.015521223425005249,93.43021501806338,752.902678439415,105.6364374836557,0.9639289385802088,-3.7259080820099104,0.004973393399715348,0.0381281978837316,0.46581922768000955,0.01604912467532423
2021-02-26 02:40:00,0.015546637793322115,93.45594613030504,752.9180177235271,105.49095320684782,0.9636894906759693,-3.729099153672607,0.004716034665704627,0.03742497200772482,0.46201712218856134,0.015998305550594134
2021-02-26 03:00:00,0.015572067988799017,93.48177706159835,752.9335044447099,105.34502326505546,0.9634518812701399,-3.7322397770100864,0.004464294814298578,0.03678222163206533,0.4583719758050948,0.015945979205874417
2021-02-26 03:20:00,0.015597513355666462,93.50770726045056,752.9491340247447,105.19864968318097,0.9632160826480802,-3.7353298295317297,0.004240537786521901,0.036227000726472496,0.45502329443596434,0.015893471548992132
2021-02-26 03:40:00,0.015622973236732434,93.53373617233775,752.964901790159,105.05183449655793,0.9629820670214525,-3.738369189874515,0.0040695450171159475,0.03578497946020842,0.4521606262302301,0.015842600290109282
2021-02-26 04:00:00,0.01564844697367485,93.55986323978858,752.9808029803238,104.9045797507356,0.9627498065281408,-3.7413577378255782,0.003975959568906995,0.03547826566254418,0.4500060444672459,0.015795508725811886
2021-02-26 04:20:00,0.015673933906804948,93.58608790232516,752.996832755628,104.75688750172888,0.9625192732351258,-3.7442953543067388,0.003981550430473087,0.03532330213771103,0.44878995768101854,0.015754441838615508
2021-02-26 04:40:00,0.015699433375340244,93.61240959654278,753.0129862057601,104.60875981569681,0.9622904391390528,-3.7471819213923414,0.004102615522474782,0.03532906302428682,0.44872303474208275,0.01572149027113597
2021-02-26 05:00:00,0.015724944717262376,93.63882775609444,753.0292583580026,104.46019876912587,0.9620632761664114,-3.750017322298686,0.004347833844432202,0.03549575227131796,0.44996762228107734,0.015698332363424376
2021-02-26 05:20:00,0.015750467269356423,93.66534181169662,753.0456441856044,104.31120644858073,0.961837756176416,-3.752801441394597,0.00471683176730438,0.03581416403807292,0.4526122165231941,0.01568600550885277
2021-02-26 05:40:00,0.01577600036736376,93.69195119116783,753.062138616144,104.16178495095214,0.9616138509609915,-3.755534164201169,0.005199650788866393,0.036265802764526595,0.4566523027768604,0.01568473542454862
2021-02-26 06:00:00,0.015801543345852254,93.71865531943708,753.0787365399839,104.0119363830197,0.9613915322456896,-3.758215377394343,0.005777203071784133,0.03682378634338132,0.46198021710739656,0.01569384582065924
2021-02-26 06:20:00,0.01582709553837172,93.74545361856255,753.095432818639,103.8616628617857,0.9611707716923098,-3.7608449688057792,0.006422688580651661,0.03745447727998277,0.4683856898477204,0.01571176208192133
2021-02-26 06:40:00,0.01585265627742124,93.77234550772513,753.112222293223,103.71096651428108,0.9609515408990741,-3.763422827429408,0.007103836891825462,0.03811971255692959,0.47556751470686726,0.015736111968638423
2021-02-26 07:00:00,0.015878224894464197,93.79933040330731,753.1290997928519,103.55984947735932,0.9607338114007703,-3.765948843415903,0.0077857408809627075,0.03877944129102912,0.48315549314764855,0.01576391523966087
2021-02-26 07:20:00,0.01590380071995899,93.8264077188273,753.1460601430011,103.40831389799733,0.9605175546723238,-3.768422908083674,0.008433979924826782,0.03939453701254169,0.490740585168134,0.01579184380006585
2021-02-26 07:40:00,0.015929383083477973,93.85357686502445,753.1630981738615,103.25636193289807,0.9603027421283598,-3.7708449139172,0.009017695347450082,0.03992953320456762,0.49791020089653276,0.01581652569590391
2021-02-26 08:00:00,0.015954971313573856,93.88083724981531,753.1802087286023,103.10399574876146,0.9600893451244407,-3.7732147545645107,0.009512284825620113,0.04035503858733987,0.504284913011701,0.01583486099699136
2021-02-26 08:20:00,0.01598056473798327,93.90818827838892,753.1973866716382,102.95121752198526,0.9598773349589971,-3.775532324852067,0.009901425065536564,0.0406496216639962,0.5095526396318478,0.015844315958663428
2021-02-26 08:40:00,0.016006162683472054,93.93562935312708,753.2146268967329,102.79802943881366,0.9596666828735552,-3.777797520768978,0.010178208309485248,0.040801008510783984,0.5134965716943357,0.015843164037312056
2021-02-26 09:00:00,0.01603176447605734,93.96315987371274,753.2319243351184,102.64443369510059,0.9594573600548657,-3.78001023948715,0.010345279275181377,0.0408065076646726,0.5160137761219711,0.015830648108220446
2021-02-26 09:20:00,0.016057369440874644,93.99077923709663,753.2492739634373,102.49043249651238,0.959249337636039,-3.7821703793504096,0.010413973094380103,0.040672653468194535,0.5171224220931705,0.015807046928811658
2021-02-26 09:40:00,0.016082976902287733,94.01848683750767,753.2666708116209,102.33602805829378,0.9590425866962312,-3.7842778398822725,0.010402568348187868,0.04041413588334369,0.5169568362516306,0.01577363949653271
2021-02-26 10:00:00,0.016108586183911956,94.04628206651516,753.2841099706711,102.18122260519523,0.958837078264482,-3.7863325217889683,0.010333869056697732,0.04005215226073643,0.5157509478711908,0.015732572234459594
2021-02-26 10:20:00,0.016134196608619443,94.07416431298405,753.3015866002312,102.0260183716557,0.9586327833182047,-3.788334326957279,0.010232403799488421,0.039612367696621936,0.5138119794157257,0.015686644589858405
2021-02-26 10:40:00,0.016159807498578156,94.10213296316681,753.3190959361325,101.87041760148463,0.958429672786425,-3.790283158458945,0.010121570363604462,0.0391227002163762,0.5114873207358683,0.015639037419173513
